coll_date,w_name,w_type,common_name,sex,f_length,t_length,weight,maturity,age,hg,year
2021-09-28,40 Mile Reservoir,Reservoir,Lake Whitefish,Female,383.0,439.0,0.61,Mature,,0.136,2021
2021-09-28,40 Mile Reservoir,Reservoir,Lake Whitefish,Female,370.0,425.0,0.647,Mature,9.0,0.104,2021
2021-09-28,40 Mile Reservoir,Reservoir,Lake Whitefish,Male,374.0,418.0,0.71,Mature,6.0,0.057,2021
2021-09-28,40 Mile Reservoir,Reservoir,Lake Whitefish,Female,355.0,409.0,0.591,Mature,,0.082,2021
2021-09-28,40 Mile Reservoir,Reservoir,Lake Whitefish,Female,347.0,398.0,0.6,Mature,9.0,0.143,2021
2021-09-28,40 Mile Reservoir,Reservoir,Lake Whitefish,Female,354.0,405.0,0.591,Mature,4.0,0.101,2021
2021-09-28,40 Mile Reservoir,Reservoir,Lake Whitefish,Male,348.0,394.0,0.558,Mature,,0.072,2021
2021-09-28,40 Mile Reservoir,Reservoir,Lake Whitefish,Female,359.0,412.0,0.621,Mature,8.0,0.064,2021
2021-09-28,40 Mile Reservoir,Reservoir,Lake Whitefish,Male,345.0,393.0,0.529,Mature,5.0,0.055,2021
2021-09-28,40 Mile Reservoir,Reservoir,Lake Whitefish,Female,358.0,412.0,0.588,Mature,10.0,0.102,2021
2021-09-28,40 Mile Reservoir,Reservoir,Lake Whitefish,Female,339.0,386.0,0.53,Mature,7.0,0.076,2021
2021-09-28,40 Mile Reservoir,Reservoir,Lake Whitefish,Male,325.0,363.0,0.474,Mature,4.0,0.06,2021
2021-09-28,40 Mile Reservoir,Reservoir,Lake Whitefish,Male,335.0,377.0,0.46,Mature,3.0,0.067,2021
2021-09-29,40 Mile Reservoir,Reservoir,Lake Whitefish,Female,358.0,411.0,0.622,Mature,9.0,0.075,2021
2021-09-29,40 Mile Reservoir,Reservoir,Lake Whitefish,Male,376.0,422.0,0.692,Mature,9.0,0.055,2021
2021-09-29,40 Mile Reservoir,Reservoir,Lake Whitefish,Male,349.0,399.0,0.54,Mature,9.0,0.06,2021
2021-09-29,40 Mile Reservoir,Reservoir,Lake Whitefish,Male,352.0,404.0,0.524,Mature,10.0,0.034,2021
2021-09-29,40 Mile Reservoir,Reservoir,Lake Whitefish,Male,317.0,365.0,0.402,Mature,5.0,0.053,2021
2021-09-29,40 Mile Reservoir,Reservoir,Lake Whitefish,Female,347.0,400.0,0.568,Mature,10.0,0.077,2021
2021-09-29,40 Mile Reservoir,Reservoir,Lake Whitefish,Male,380.0,437.0,0.756,Mature,16.0,0.011,2021
2021-09-29,40 Mile Reservoir,Reservoir,Lake Whitefish,Female,353.0,397.0,0.56,Mature,8.0,0.08,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Female,682.0,728.0,2.306,Mature,7.0,0.556,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Female,500.0,532.0,0.854,Immature,5.0,0.292,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Female,544.0,578.0,1.256,Mature,5.0,0.28,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Male,494.0,529.0,0.99,Mature,4.0,0.296,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Female,387.0,412.0,0.402,Immature,3.0,0.166,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Female,1030.0,1086.0,9.29,Mature,10.0,0.906,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Female,820.0,866.0,4.588,Mature,8.0,0.383,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Female,872.0,912.0,5.584,Mature,9.0,0.525,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Female,885.0,914.0,6.27,Mature,8.0,0.504,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Male,521.0,554.0,1.16,Mature,5.0,0.26,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Male,453.0,484.0,0.702,Mature,4.0,0.218,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Female,570.0,608.0,1.296,Immature,4.0,0.29,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Female,585.0,622.0,1.682,Mature,6.0,0.251,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Female,595.0,622.0,1.502,Mature,5.0,0.326,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Male,730.0,771.0,4.108,Mature,8.0,0.643,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Male,543.0,579.0,1.256,Mature,4.0,0.308,2021
2021-09-28,40 Mile Reservoir,Reservoir,Northern Pike,Male,672.0,715.0,2.286,Mature,6.0,0.701,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Male,487.0,513.0,1.188,Mature,9.0,1.438,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Male,562.0,591.0,2.024,Mature,8.0,1.078,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Female,563.0,595.0,2.018,Mature,8.0,0.927,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Female,525.0,555.0,1.624,Mature,7.0,0.638,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Male,540.0,566.0,1.966,Mature,9.0,1.35,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Female,689.0,721.0,4.002,Mature,16.0,1.387,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Male,485.0,519.0,1.268,Mature,6.0,0.704,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Male,572.0,608.0,1.796,Mature,12.0,1.523,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Female,543.0,579.0,1.922,Mature,6.0,0.563,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Male,542.0,577.0,2.054,Mature,10.0,1.087,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Female,564.0,596.0,1.964,Mature,7.0,0.948,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Male,550.0,582.0,1.952,Mature,10.0,1.179,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Male,452.0,482.0,1.096,Mature,6.0,0.559,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Male,453.0,482.0,0.998,Mature,5.0,0.672,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Male,470.0,499.0,1.244,Mature,6.0,0.596,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Male,471.0,500.0,1.054,Mature,6.0,0.579,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Female,690.0,713.0,4.046,Mature,16.0,1.258,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Unknown,618.0,651.0,2.362,Mature,10.0,1.128,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Female,690.0,723.0,3.156,Mature,16.0,1.325,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Female,587.0,620.0,2.578,Mature,18.0,1.297,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Female,423.0,445.0,0.757,Immature,3.0,0.311,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Female,718.0,750.0,5.036,Mature,16.0,1.047,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Female,608.0,636.0,2.576,Mature,10.0,1.068,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Male,529.0,556.0,1.689,Mature,9.0,1.687,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Female,666.0,695.0,2.712,Mature,14.0,1.279,2021
2021-09-28,40 Mile Reservoir,Reservoir,Walleye,Male,537.0,565.0,1.732,Mature,9.0,1.118,2021
2013-09-18,Amisk Lake,Lake,Lake Whitefish,Male,509.0,560.0,1.99,Mature,23.0,0.083,2013
2013-09-19,Amisk Lake,Lake,Lake Whitefish,Male,520.0,570.0,2.0,Mature,16.0,0.072,2013
2010-09-16,Amisk Lake,Lake,Northern Pike,Female,455.0,484.0,0.51,Mature,4.0,0.456,2010
2010-09-16,Amisk Lake,Lake,Northern Pike,Female,498.0,528.0,0.8,Mature,3.0,0.497,2010
2010-09-16,Amisk Lake,Lake,Northern Pike,Female,574.0,605.0,0.95,Mature,5.0,0.651,2010
2010-09-16,Amisk Lake,Lake,Northern Pike,Female,523.0,561.0,0.8,Mature,6.0,0.846,2010
2010-09-16,Amisk Lake,Lake,Northern Pike,Female,530.0,571.0,0.725,Mature,6.0,0.792,2010
2010-09-16,Amisk Lake,Lake,Northern Pike,Female,521.0,559.0,0.865,Mature,2.0,0.265,2010
2010-09-16,Amisk Lake,Lake,Northern Pike,Female,635.0,675.0,1.725,Mature,3.0,0.318,2010
2010-09-16,Amisk Lake,Lake,Northern Pike,Male,411.0,440.0,0.79,Mature,,0.356,2010
2010-09-17,Amisk Lake,Lake,Northern Pike,Female,496.0,540.0,0.8,Mature,4.0,0.556,2010
2010-09-17,Amisk Lake,Lake,Northern Pike,Female,525.0,564.0,0.525,Mature,5.0,0.761,2010
2010-09-17,Amisk Lake,Lake,Northern Pike,Female,485.0,520.0,0.625,Mature,4.0,0.465,2010
2013-09-18,Amisk Lake,Lake,Northern Pike,Female,489.0,516.0,0.764,Mature,5.0,0.444,2013
2013-09-18,Amisk Lake,Lake,Northern Pike,Female,515.0,550.0,0.767,Mature,5.0,0.699,2013
2013-09-18,Amisk Lake,Lake,Northern Pike,Female,560.0,595.0,1.244,Mature,5.0,0.576,2013
2013-09-18,Amisk Lake,Lake,Northern Pike,Female,770.0,816.0,3.637,Mature,7.0,0.795,2013
2013-09-18,Amisk Lake,Lake,Northern Pike,Male,447.0,479.0,0.588,Mature,5.0,0.486,2013
2013-09-18,Amisk Lake,Lake,Northern Pike,Female,438.0,469.0,0.636,Mature,4.0,0.307,2013
2013-09-18,Amisk Lake,Lake,Northern Pike,Female,472.0,505.0,0.616,Mature,4.0,0.585,2013
2013-09-19,Amisk Lake,Lake,Northern Pike,Female,438.0,469.0,0.588,Mature,4.0,0.122,2013
2013-09-19,Amisk Lake,Lake,Northern Pike,Male,481.0,516.0,0.754,Mature,4.0,0.135,2013
2013-09-19,Amisk Lake,Lake,Northern Pike,Female,460.0,490.0,0.691,Mature,5.0,0.341,2013
2013-09-19,Amisk Lake,Lake,Northern Pike,Male,500.0,536.0,0.88,Mature,3.0,0.255,2013
2013-09-19,Amisk Lake,Lake,Northern Pike,Male,460.0,494.0,0.619,Mature,4.0,0.663,2013
2013-09-19,Amisk Lake,Lake,Northern Pike,Female,482.0,515.0,0.79,Mature,4.0,0.364,2013
2013-09-19,Amisk Lake,Lake,Northern Pike,Female,598.0,630.0,1.413,Mature,5.0,0.92,2013
2013-09-19,Amisk Lake,Lake,Northern Pike,Male,535.0,565.0,1.056,Mature,5.0,0.552,2013
2013-09-19,Amisk Lake,Lake,Northern Pike,Female,485.0,518.0,0.625,Immature,5.0,0.591,2013
2010-09-16,Amisk Lake,Lake,Walleye,Female,466.0,498.0,0.82,Immature,11.0,1.167,2010
2010-09-16,Amisk Lake,Lake,Walleye,Male,360.0,381.0,0.425,Mature,4.0,0.487,2010
2010-09-16,Amisk Lake,Lake,Walleye,Male,492.0,525.0,0.98,Mature,11.0,1.174,2010
2010-09-16,Amisk Lake,Lake,Walleye,Male,419.0,445.0,0.7,Mature,12.0,0.957,2010
2010-09-16,Amisk Lake,Lake,Walleye,Female,284.0,303.0,0.233,Immature,3.0,0.285,2010
2010-09-16,Amisk Lake,Lake,Walleye,Male,378.0,402.0,0.52,Immature,4.0,0.493,2010
2010-09-16,Amisk Lake,Lake,Walleye,Female,342.0,365.0,0.39,Immature,4.0,0.433,2010
2010-09-16,Amisk Lake,Lake,Walleye,Male,437.0,465.0,0.82,Mature,11.0,1.363,2010
2010-09-16,Amisk Lake,Lake,Walleye,Male,430.0,457.0,0.7,Mature,12.0,1.269,2010
2010-09-17,Amisk Lake,Lake,Walleye,Female,460.0,490.0,1.02,Mature,11.0,0.572,2010
2010-09-17,Amisk Lake,Lake,Walleye,Female,524.0,553.0,1.1,Mature,14.0,1.244,2010
2013-09-18,Amisk Lake,Lake,Walleye,Male,426.0,450.0,0.797,Mature,7.0,0.848,2013
2013-09-18,Amisk Lake,Lake,Walleye,Female,450.0,474.0,0.872,Mature,7.0,0.798,2013
2013-09-18,Amisk Lake,Lake,Walleye,Male,450.0,475.0,0.962,Mature,13.0,1.029,2013
2013-09-18,Amisk Lake,Lake,Walleye,Male,464.0,495.0,0.935,Mature,15.0,1.589,2013
2013-09-18,Amisk Lake,Lake,Walleye,Male,467.0,495.0,1.02,Mature,16.0,0.795,2013
2013-09-18,Amisk Lake,Lake,Walleye,Male,445.0,465.0,0.878,Mature,14.0,1.093,2013
2013-09-18,Amisk Lake,Lake,Walleye,Male,449.0,476.0,0.987,Mature,14.0,1.298,2013
2013-09-18,Amisk Lake,Lake,Walleye,Male,387.0,410.0,0.553,Mature,6.0,0.49,2013
2013-09-18,Amisk Lake,Lake,Walleye,Female,502.0,525.0,1.238,Mature,14.0,1.112,2013
2013-09-18,Amisk Lake,Lake,Walleye,Male,432.0,462.0,0.848,Mature,14.0,1.448,2013
2013-09-18,Amisk Lake,Lake,Walleye,Female,450.0,479.0,1.006,Mature,7.0,0.684,2013
2013-09-18,Amisk Lake,Lake,Walleye,Male,435.0,459.0,0.752,Mature,14.0,1.117,2013
2013-09-18,Amisk Lake,Lake,Walleye,Male,400.0,424.0,0.701,Mature,6.0,0.554,2013
2018-07-10,Angling Lake,Lake,Northern Pike,Female,602.0,639.0,1.35,Mature,,0.449,2018
2018-07-10,Angling Lake,Lake,Northern Pike,Female,631.0,669.0,1.8,Mature,,0.307,2018
2018-07-10,Angling Lake,Lake,Northern Pike,Male,593.0,631.0,1.15,Mature,,0.536,2018
2018-07-10,Angling Lake,Lake,Northern Pike,Female,648.0,690.0,1.95,Mature,,0.353,2018
2018-07-10,Angling Lake,Lake,Northern Pike,Female,658.0,694.0,1.8,Mature,,0.453,2018
2018-07-10,Angling Lake,Lake,Northern Pike,Female,614.0,653.0,1.4,Mature,,0.384,2018
2018-07-10,Angling Lake,Lake,Northern Pike,Female,608.0,647.0,1.6,Mature,,0.242,2018
2018-07-10,Angling Lake,Lake,Northern Pike,Female,596.0,636.0,1.5,Mature,,0.245,2018
2018-07-11,Angling Lake,Lake,Northern Pike,Female,608.0,649.0,1.3,Mature,,0.408,2018
2018-07-11,Angling Lake,Lake,Northern Pike,Female,592.0,632.0,1.55,Mature,,0.369,2018
2018-07-11,Angling Lake,Lake,Northern Pike,Female,654.0,696.0,1.4,Mature,,0.541,2018
2018-07-11,Angling Lake,Lake,Northern Pike,Female,608.0,649.0,1.5,Mature,,0.291,2018
2018-07-11,Angling Lake,Lake,Northern Pike,Female,594.0,634.0,1.2,Mature,,0.484,2018
2018-07-11,Angling Lake,Lake,Northern Pike,Female,603.0,640.0,1.6,Mature,,0.34,2018
2018-07-11,Angling Lake,Lake,Northern Pike,Female,614.0,656.0,1.5,Mature,,0.272,2018
2018-07-11,Angling Lake,Lake,Northern Pike,Female,591.0,633.0,1.4,Mature,,0.326,2018
2014-10-01,Arm Lake,Lake,Northern Pike,Female,505.0,537.0,0.889,Mature,6.0,0.426,2014
2014-10-01,Arm Lake,Lake,Northern Pike,Female,518.0,547.0,0.935,Mature,5.0,0.412,2014
2014-10-01,Arm Lake,Lake,Northern Pike,Male,475.0,507.0,0.623,Mature,5.0,0.456,2014
